numero_de_cliente	cantidad_votos	detalle_modelos
249406703	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
249533894	3	V3_1s + V3_2q + V3_4m
249654219	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
249767038	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
249809121	4	V3_1s + V3_2q + V3_4m + V3_4q
250012879	3	V3_1s + V3_2q + V3_4m
250019293	4	V3_2q + V3_3q + V3_4m + V3_4q
250051018	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
250130651	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
250147432	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
250200514	3	V3_2q + V3_3q + V3_4q
250240480	3	V3_2q + V3_3q + V3_4m
250483624	4	V3_1s + V3_2q + V3_4m + V3_4q
250700362	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
250736383	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
250817698	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
250876913	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
251336940	3	V3_1s + V3_2q + V3_4m
251404617	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
251544711	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
251573806	4	V3_1s + V3_2q + V3_4m + V3_4q
251616180	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
251704131	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
251797624	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
251803969	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
251963090	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
252101365	4	V3_2q + V3_3q + V3_4m + V3_4q
252132501	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
252226361	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
252846970	3	V3_2q + V3_3q + V3_4m
252931633	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
253034613	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
253045108	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
253373504	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
253454307	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
253603001	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
253687382	4	V3_2q + V3_3q + V3_4m + V3_4q
253718740	4	V3_1s + V3_2q + V3_3q + V3_4m
253810337	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
253842062	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
