numero_de_cliente,probabilidad,
507653834,0.977052529,1
1122340744,0.968273959,1
1200808878,0.963356067,1
1016783779,0.952383919,1
960841355,0.933486816,1
469357652,0.931906845,1
719952686,0.926905486,1
1469402972,0.92613235,1
348375152,0.924828154,1
999158844,0.917727413,1
1459306077,0.916366559,1
971108609,0.911729567,1
841876239,0.907926434,1
935575407,0.905802864,1
447990093,0.90459538,1
1231971341,0.902847856,1
703907858,0.899245685,1
831739592,0.893114562,1
697865338,0.889929553,1
462250979,0.889213101,1
990758222,0.886060131,1
1125770942,0.882677001,1
1346661987,0.881644855,1
565274026,0.879656114,1
1303652009,0.878498318,1
1493825886,0.869209536,1
957781338,0.866802968,1
916274165,0.858290103,1
1127528923,0.849265848,1
268237057,0.847417745,1
1213881716,0.846995778,1
582110692,0.843207093,1
1237423372,0.840308681,1
1456839179,0.836164511,1
776562687,0.834613147,1
585608636,0.83017667,1
1054893129,0.82817531,1
1342775050,0.827601996,1
355859871,0.827069602,1
966182242,0.826808684,1
1137753589,0.825883496,1
1222748992,0.822664621,1
878976935,0.821476404,1
1333333623,0.821095498,1
999724174,0.819349454,1
853893960,0.817853931,1
1038027871,0.817843778,1
990418460,0.815540312,1
1350587874,0.814372605,1
636964898,0.812303867,1
703610974,0.803846912,1
352906984,0.80277017,1
598574267,0.800777768,1
278188904,0.798677378,1
747296112,0.794445638,1
1199345235,0.79312098,1
1332194712,0.790829884,1
840658576,0.789001862,1
513773510,0.788139611,1
659587021,0.787718134,1
1070087118,0.787053324,1
1250287995,0.782898033,1
332754467,0.780660094,1
1437893889,0.780108125,1
859443856,0.779358188,1
1327182802,0.774439444,1
1064098715,0.771740992,1
1083297421,0.763699356,1
1013406306,0.762556358,1
460817670,0.755204851,1
1023893441,0.754841753,1
891444836,0.754710577,1
266616403,0.754122428,1
528100768,0.753222177,1
655714081,0.751708373,1
1306743392,0.749109576,1
1051386142,0.74616916,1
519562169,0.745806426,1
275046043,0.742948003,1
810702981,0.742093739,1
999655908,0.73968853,1
690072207,0.739519036,1
1207471134,0.739018844,1
566624781,0.739009209,1
1128911916,0.734642731,1
1451148752,0.734401684,1
1191090472,0.731493907,1
666848221,0.731292436,1
850217049,0.72696257,1
725911849,0.724120474,1
660543608,0.723547329,1
1005037853,0.723321484,1
1062670658,0.723194847,1
1246638651,0.720878468,1
1391269212,0.720189205,1
466558635,0.719228453,1
1345754265,0.714620428,1
483537514,0.711855813,1
554017367,0.711825806,1
614999925,0.711113636,1
469068420,0.710260718,1
1019821918,0.706888738,1
1224188569,0.703900642,1
1141003223,0.703198801,1
928847010,0.700369572,1
315523188,0.698883801,1
800143506,0.698140715,1
689228080,0.697119456,1
302148947,0.696944427,1
1306459122,0.694639427,1
473756828,0.693302213,1
655175591,0.693251894,1
876172743,0.692632433,1
860335831,0.691742703,1
483974859,0.689065285,1
710633266,0.688995006,1
779846086,0.685894566,1
829720978,0.682842002,1
614615235,0.682209391,1
1339359438,0.682205431,1
491664360,0.68077797,1
316983115,0.680437602,1
1253889577,0.679373523,1
779012668,0.677515336,1
698971498,0.677042907,1
504139187,0.675498701,1
1136719846,0.675087852,1
1189593431,0.674487409,1
1133114549,0.673102294,1
1071358676,0.666502737,1
263130415,0.666395186,1
596633902,0.665816565,1
1253149728,0.664642393,1
720715874,0.664464779,1
818453525,0.662054051,1
891690089,0.661747589,1
302346506,0.661634067,1
576328088,0.659215521,1
946326608,0.658902365,1
347925339,0.658015612,1
875839830,0.657111075,1
508442325,0.655257979,1
812017494,0.654085626,1
260491765,0.652865067,1
1454897491,0.652861139,1
1292054930,0.652222589,1
675166648,0.649859673,1
621518363,0.649650084,1
562206049,0.648159965,1
1340443062,0.648011133,1
597573786,0.646090955,1
1024504493,0.64524504,1
875809052,0.645172892,1
1179492522,0.644457851,1
262838775,0.644183442,1
1352229749,0.64352063,1
275039040,0.642717344,1
516347472,0.640353201,1
597221838,0.640039417,1
1050418035,0.639468974,1
1082561441,0.637251918,1
300333280,0.634461323,1
663202523,0.633439592,1
1248323557,0.633124355,1
727109026,0.627056956,1
805005484,0.626595341,1
970712613,0.625900275,1
927471097,0.62531401,1
1167667612,0.625165018,1
969189970,0.623350667,1
1227525709,0.622214227,1
990090867,0.621185691,1
927010857,0.618558172,1
825039709,0.617954104,1
1125932548,0.617940715,1
1282184107,0.617305114,1
644104534,0.617256036,1
354916631,0.616601247,1
586766069,0.616550592,1
633697399,0.615901097,1
809215633,0.615651219,1
1134705015,0.614964428,1
506852585,0.612636291,1
484136978,0.612559708,1
779679442,0.611325524,1
356662435,0.609296083,1
729212089,0.608587748,1
672560961,0.608449972,1
285480881,0.606138221,1
1451756090,0.605609098,1
338849343,0.604788534,1
1150135367,0.603276351,1
1182371096,0.602984172,1
1227117536,0.601799971,1
1027649404,0.601427085,1
308198538,0.601136255,1
283272360,0.600625325,1
635599489,0.600330453,1
1089552153,0.599736392,1
1345838714,0.598844563,1
631590322,0.597440571,1
358548333,0.597010566,1
1384295050,0.596362402,1
594839824,0.596086267,1
1355386837,0.595434074,1
355560433,0.595073591,1
1236829015,0.594843472,1
466571180,0.593951345,1
1028414410,0.589546527,1
679020843,0.588682343,1
605758173,0.586197755,1
1208463673,0.585504623,1
1012530086,0.58512422,1
984057323,0.585048449,1
1056108751,0.584585636,1
491982688,0.584578543,1
1455440652,0.58422926,1
1221933738,0.583631074,1
1232256491,0.582909943,1
516013833,0.582636404,1
560499776,0.582619184,1
770604839,0.581628483,1
1048616732,0.581485013,1
632353937,0.579487097,1
611069298,0.579192607,1
901895430,0.57837675,1
1095641786,0.577791273,1
1015004577,0.575879323,1
1055545607,0.575456176,1
985241289,0.573686452,1
1235133605,0.570495785,1
1326392783,0.570317778,1
953202759,0.570116882,1
1307809288,0.570018699,1
817609833,0.56986002,1
698897117,0.568778555,1
796692821,0.5686158,1
1440838176,0.567398764,1
981341952,0.567296313,1
1224705112,0.566985645,1
268346083,0.565948776,1
861519361,0.565202849,1
889762116,0.565182679,1
266627633,0.564603994,1
1077360503,0.564247521,1
644362477,0.564243286,1
658350101,0.561902825,1
1229634178,0.561163487,1
893531862,0.56079212,1
1095364151,0.558047144,1
1452408859,0.557333155,1
744377931,0.556528297,1
279850258,0.555963896,1
635099205,0.554932438,1
592537298,0.554828685,1
264192451,0.552012619,1
983783701,0.549833305,1
731049200,0.549539778,1
1177959008,0.549330604,1
749526221,0.549152528,1
1078347637,0.546019482,1
999567231,0.545067128,1
333707698,0.544938996,1
548764431,0.543229576,1
612018883,0.543057393,1
1330071299,0.542199037,1
1253836118,0.540417371,1
1438275223,0.53964399,1
495134960,0.536136633,1
717275462,0.535214243,1
1018675288,0.534947838,1
1442184995,0.534638551,1
467557229,0.533427054,1
1332649487,0.533268181,1
715432741,0.532436208,1
1335080511,0.531963474,1
604732670,0.531823008,1
549628251,0.53160289,1
995725213,0.530415382,1
940898283,0.52744259,1
1316327536,0.525459181,1
355984653,0.525432452,1
1456084821,0.524938799,1
495599069,0.524759145,1
505032546,0.524534265,1
788587051,0.523588012,1
565399167,0.522736281,1
1028130789,0.522672601,1
1241384767,0.522573715,1
1469185944,0.52148105,1
300687927,0.520693942,1
992973600,0.519703494,1
1187443177,0.518455424,1
1113364228,0.518163638,1
578588829,0.516590049,1
1115994415,0.516050499,1
790039532,0.515580345,1
597060957,0.513781944,1
887345969,0.512910411,1
496272333,0.512901846,1
603245758,0.512879772,1
873479182,0.512833344,1
882749448,0.511703403,1
1101639890,0.509765003,1
865381576,0.507468883,1
524867394,0.506760242,1
998874129,0.506380803,1
1277247816,0.506309147,1
696318775,0.506074315,1
899018317,0.504050702,1
518196025,0.503884945,1
1582619617,0.503838753,1
1356560666,0.503761014,1
1354981362,0.502638094,1
632363783,0.501521258,1
885898006,0.500149962,1
1350251092,0.499583239,1
919313840,0.499522457,1
249465047,0.497865994,1
349336325,0.497602349,1
485915668,0.496942707,1
1141265102,0.496558606,1
571851534,0.496261221,1
276120401,0.495413857,1
569254088,0.495198138,1
597643863,0.493674286,1
334353609,0.493027597,1
249952495,0.491842634,1
854527480,0.491344007,1
810725082,0.490024312,1
1058531312,0.489243965,1
894719337,0.489126934,1
870249463,0.48889637,1
337358716,0.488647952,1
822785467,0.488271261,1
700219427,0.487244061,1
973186813,0.486865816,1
1117217621,0.48578803,1
531624236,0.482699541,1
665341402,0.481761123,1
1080592989,0.480961997,1
1249509359,0.480158818,1
715744510,0.480084693,1
1315116440,0.479785287,1
780174618,0.479135476,1
538380123,0.47910775,1
976745944,0.477506561,1
260754302,0.476897631,1
315375723,0.47666265,1
330572411,0.476522687,1
1162973517,0.474997074,1
457966219,0.473991755,1
1011742040,0.472734321,1
681462439,0.472652751,1
1453079569,0.472363337,1
751249044,0.471273477,1
583681466,0.471081819,1
939776811,0.470944105,1
491667281,0.47084626,1
479408826,0.470802465,1
514647544,0.470734875,1
1210803458,0.470712681,1
727279018,0.470301931,1
638108616,0.469957278,1
928052328,0.46931632,1
263722731,0.468387957,1
1123873669,0.467046626,1
589454522,0.467000643,1
1318294749,0.466747651,1
678606692,0.466508941,1
440298764,0.465979452,1
1006445423,0.465914669,1
553804052,0.465359584,1
290905124,0.464095726,1
731338278,0.463960043,1
865341029,0.461797119,1
803210014,0.461772415,1
859387263,0.461058005,1
251404617,0.461018548,1
710224947,0.460600586,1
667194259,0.460281872,1
476831431,0.459882849,1
1166724663,0.458654488,1
452229345,0.457320968,1
